COMP_TYPE,COMP_LOC,YEAR,RACE_DATE,RACE_TEMP,RACE_HUMID,M_W,EVENT,STAGE,RACE_NB,ATHLETE_NAME,ATHLETE_COUNTRY,ATHLETE_AGE,100M,200M,300M,400M,500M,600M,700M,800M,900M,1000M,1100M,1200M,1300M,1400M,1500M
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Vera HOFFMANN,LUX,27.0,16.41,33.47,50.18,1:06.87,1:23.72,1:40.81,1:57.78,2:14.49,2:30.85,2:47.36,3:03.81,3:19.86,3:35.86,3:52.71,4:09.76
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Jaqueline Beatriz WEBER,BRA,28.0,16.26,33.09,49.73,1:06.72,1:23.73,1:40.79,1:58.40,2:14.39,2:31.04,2:47.70,3:04.55,3:20.69,3:37.50,3:55.01,4:14.46
outdoor,Budapest (HUN),2023,19 August 2023,26,65,women,1500-metres,heats,1.0,Şilan AYYILDIZ,TUR,24.0,16.29,33.27,49.80,1:06.97,1:23.98,1:41.09,1:58.42,2:14.97,2:31.50,2:48.74,3:05.26,3:22.69,3:40.03,3:57.83,4:14.96
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Faith KIPYEGON,KEN,30.0,15.34,32.73,50.13,1:07.43,1:24.48,1:41.77,1:58.77,2:15.06,2:31.43,2:47.86,3:03.25,3:18.52,3:33.35,3:48.24,4:02.62
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Diribe WELTEJI,ETH,21.0,16.02,34.25,50.21,1:07.71,1:24.71,1:41.84,1:58.78,2:15.39,2:31.50,2:47.77,3:03.22,3:18.59,3:33.39,3:48.32,4:02.72
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Sarah HEALY,IRL,23.0,15.52,32.81,51.37,1:07.56,1:24.57,1:41.69,1:58.64,2:15.28,2:31.55,2:47.81,3:03.20,3:18.65,3:33.41,3:48.70,4:03.00
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Gaia SABBATINI,ITA,24.0,15.42,33.75,50.33,1:07.81,1:24.82,1:41.92,1:58.78,2:15.48,2:31.73,2:47.96,3:05.10,3:18.88,3:33.75,3:48.40,4:03.04
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Melissa COURTNEY-BRYANT,GBR,30.0,15.39,32.55,50.03,1:07.48,1:24.50,1:41.61,1:58.64,2:15.16,2:31.52,2:47.66,3:03.44,3:18.76,3:33.57,3:48.40,4:03.14
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Esther GUERRERO,ESP,34.0,15.74,33.11,50.59,1:07.93,1:24.93,1:42.06,1:59.03,2:15.63,2:31.74,2:47.86,3:03.64,3:19.00,3:33.89,3:48.66,4:04.33
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Sofia THØGERSEN,DEN,18.0,15.99,34.24,51.50,1:08.90,1:25.88,1:42.85,1:59.69,2:16.37,2:32.58,2:48.72,3:04.42,3:20.08,3:34.92,3:50.22,4:05.34
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Agathe GUILLEMOT,FRA,24.0,15.77,33.04,51.85,1:08.13,1:25.20,1:42.65,1:59.39,2:15.81,2:32.00,2:48.66,3:03.86,3:19.25,3:34.43,3:49.93,4:06.18
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Aleksandra PŁOCI ŃSKA,POL,24.0,15.63,32.95,50.44,1:07.98,1:24.98,1:42.21,2:00.52,2:15.72,2:31.92,2:48.10,3:03.74,3:19.12,3:34.24,3:49.95,4:06.39
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Hanna HERMANSSON,SWE,34.0,16.24,33.91,52.33,1:08.67,1:25.58,1:42.75,2:01.69,2:16.18,2:32.39,2:48.48,3:04.25,3:20.15,3:35.14,3:50.24,4:06.42
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Salomé AFONSO,POR,26.0,15.92,33.26,50.85,1:08.26,1:25.31,1:42.55,1:59.52,2:16.11,2:32.19,2:48.44,3:04.29,3:19.43,3:34.73,3:50.23,4:06.55
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Carina VILJOEN,RSA,26.0,15.75,33.43,52.29,1:08.26,1:25.46,1:42.52,1:59.34,2:15.95,2:32.20,2:48.39,3:04.12,3:19.99,3:36.54,3:53.60,4:11.02
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Lili Anna VINDICS-TÓTH,HUN,25.0,16.50,34.11,52.12,1:09.24,1:26.08,1:43.23,2:00.66,2:16.60,2:32.56,2:49.48,3:05.13,3:21.46,3:37.97,3:54.62,4:11.08
outdoor,Budapest (HUN),2023,19 August 2023,29,60,women,1500-metres,heats,2.0,Elise VANDERELST,BEL,26.0,15.55,33.17,51.48,1:08.13,1:25.10,1:42.49,1:59.23,2:15.99,2:32.17,2:48.50,3:04.40,3:20.07,3:36.21,3:53.74,4:11.55
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Jakob INGEBRIGTSEN,NOR,23.0,15.25,29.43,43.13,57.81,1:12.33,1:27.42,1:43.20,1:56.57,2:11.06,2:25.33,2:39.31,2:53.30,3:07.01,3:20.60,3:33.94
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Josh KERR,GBR,26.0,13.76,28.17,42.70,57.91,1:12.85,1:27.70,1:42.04,1:56.69,2:11.00,2:25.45,2:39.28,2:53.34,3:07.05,3:20.47,3:34.00
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Reynold Kipkorir CHERUIYOT,KEN,19.0,13.39,27.79,42.58,57.67,1:12.66,1:27.84,1:43.35,1:56.96,2:11.69,2:26.83,2:39.77,2:53.72,3:07.44,3:21.34,3:34.24
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Adel MECHAAL,ESP,33.0,14.29,28.56,43.21,58.09,1:13.04,1:28.40,1:42.39,1:57.14,2:11.42,2:26.08,2:39.73,2:53.45,3:07.32,3:20.66,3:34.35
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Isaac NADER,POR,24.0,13.88,28.35,43.85,57.89,1:12.72,1:27.59,1:42.39,1:56.92,2:11.29,2:25.85,2:40.21,2:53.46,3:07.18,3:20.80,3:34.36
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Charles PHILIBERT-THIBOUTOT,CAN,33.0,14.06,28.43,43.21,58.24,1:12.88,1:27.61,1:42.80,1:57.13,2:11.36,2:27.57,2:39.80,2:53.77,3:07.52,3:21.14,3:34.60
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Amos BARTELSMEYER,GER,29.0,13.90,28.48,43.36,58.28,1:13.09,1:27.99,1:42.71,1:57.62,2:12.49,2:26.91,2:40.45,2:54.31,3:08.31,3:22.02,3:35.44
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Samuel ZELEKE,ETH,24.0,14.62,28.88,43.57,58.19,1:12.18,1:26.88,1:42.08,1:56.30,2:11.17,2:26.07,2:40.51,2:54.04,3:07.96,3:22.10,3:36.57
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Abraham GUEM,SSD,24.0,14.44,30.62,43.83,58.54,1:13.24,1:28.20,1:42.79,1:57.45,2:11.87,2:26.99,2:41.12,2:55.15,3:09.10,3:23.27,3:37.85
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Ryan MPHAHLELE,RSA,25.0,13.55,28.11,42.70,57.57,1:12.05,1:26.92,1:41.41,1:56.11,2:10.91,2:25.54,2:40.81,2:53.88,3:07.72,3:22.95,3:39.16
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Yervand MKRTCHYAN,ARM,27.0,14.08,28.99,44.60,58.64,1:13.40,1:28.39,1:43.84,1:57.90,2:12.42,2:27.50,2:42.38,2:55.78,3:10.16,3:24.92,3:39.35
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Nicholas GRIGGS,IRL,19.0,14.39,29.46,43.87,58.40,1:13.07,1:27.96,1:44.48,1:57.46,2:11.71,2:27.08,2:40.77,2:54.95,3:09.73,3:24.86,3:40.72
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,1.0,Matthew RAMSDEN,AUS,26.0,14.83,29.79,43.84,58.74,1:13.47,1:28.25,1:43.11,1:57.63,2:12.05,2:30.26,2:45.19,3:00.43,3:15.85,3:31.30,3:46.45
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Mario GARCÍA,ESP,24.0,13.97,29.96,48.02,1:06.23,1:23.90,1:41.46,1:57.30,2:12.15,2:26.64,2:40.50,2:55.73,3:07.46,3:20.59,3:34.10,3:46.77
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Tshepo TSHITE,RSA,27.0,13.48,29.68,49.84,1:05.85,1:24.23,1:42.39,1:58.02,2:12.79,2:27.12,2:41.51,2:55.28,3:08.54,3:21.27,3:34.28,3:46.79
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Neil GOURLEY,GBR,29.0,13.50,29.58,47.41,1:05.49,1:23.75,1:41.34,1:58.64,2:12.36,2:26.79,2:40.99,2:54.38,3:08.05,3:21.02,3:34.19,3:46.87
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Samuel TANNER,NZL,23.0,13.52,29.72,48.17,1:05.60,1:23.88,1:41.61,1:57.74,2:12.63,2:26.61,2:40.70,2:55.28,3:07.64,3:20.63,3:33.92,3:46.93
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Ruben VERHEYDEN,BEL,23.0,15.08,29.63,47.68,1:05.84,1:24.00,1:41.40,1:57.26,2:12.30,2:26.42,2:40.71,2:53.84,3:07.35,3:20.51,3:33.98,3:47.02
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Timothy CHERUIYOT,KEN,28.0,14.22,30.05,48.08,1:06.31,1:24.49,1:42.02,1:57.23,2:12.01,2:26.41,2:40.65,2:53.80,3:07.28,3:20.50,3:33.88,3:47.09
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Joonas RINNE,FIN,28.0,13.83,29.80,50.59,1:06.14,1:24.31,1:41.82,1:58.06,2:13.06,2:26.77,2:41.03,2:54.12,3:07.74,3:20.87,3:34.13,3:47.16
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Joe WASKOM,USA,22.0,13.61,29.51,47.27,1:05.76,1:24.06,1:41.55,1:57.62,2:12.66,2:26.83,2:40.89,2:54.22,3:07.97,3:20.78,3:34.23,3:47.26
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Hicham AKANKAM,MAR,25.0,13.58,29.36,47.41,1:05.51,1:23.76,1:41.27,1:57.39,2:12.48,2:26.72,2:41.17,2:54.31,3:08.27,3:21.01,3:34.33,3:47.45
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Luke MCCANN,IRL,25.0,14.02,29.93,47.69,1:06.13,1:24.16,1:41.55,1:57.40,2:12.36,2:26.95,2:41.11,2:54.45,3:08.00,3:20.62,3:33.91,3:47.48
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Teddese LEMI,ETH,25.0,14.25,30.40,50.51,1:06.51,1:24.69,1:42.14,1:58.36,2:13.15,2:27.41,2:41.34,2:54.46,3:07.81,3:20.67,3:34.26,3:47.49
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Rob NAPOLITANO,PUR,29.0,13.71,29.79,47.57,1:05.89,1:24.21,1:41.42,1:57.66,2:12.69,2:28.09,2:41.05,2:54.35,3:07.90,3:21.10,3:34.54,3:48.29
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Joao BUSSOTTI NEVES,ITA,30.0,13.61,29.40,47.63,1:05.54,1:23.74,1:41.40,1:58.00,2:12.97,2:26.67,2:40.67,2:53.95,3:07.55,3:20.68,3:34.08,3:48.55
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,2.0,Julian RANC,FRA,27.0,13.74,29.74,47.46,1:05.65,1:23.87,1:41.35,1:58.70,2:12.49,2:26.57,2:41.00,2:54.03,3:07.70,3:20.82,3:35.75,3:48.63
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Niels LAROS,NED,18.0,13.80,29.75,44.26,59.15,1:13.78,1:28.58,1:42.84,1:57.26,2:12.07,2:26.69,2:40.72,2:54.24,3:07.28,3:21.57,3:34.25
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Mohamed KATIR,ESP,26.0,14.49,29.56,45.30,59.87,1:13.74,1:28.92,1:42.70,1:57.10,2:11.98,2:26.88,2:40.72,2:54.15,3:07.17,3:20.47,3:34.34
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Cole HOCKER,USA,22.0,14.08,29.16,43.92,58.66,1:13.37,1:27.90,1:43.65,1:57.39,2:12.31,2:27.04,2:41.02,2:54.88,3:08.17,3:21.05,3:34.43
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Pietro ARESE,ITA,24.0,14.73,29.79,44.88,59.66,1:13.93,1:28.99,1:42.92,1:57.51,2:12.18,2:27.54,2:40.84,2:54.48,3:07.53,3:21.33,3:34.48
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Narve Gilje NORDÅS,NOR,25.0,14.35,29.30,44.00,58.63,1:13.17,1:27.74,1:43.44,1:57.22,2:12.20,2:27.21,2:41.26,2:54.87,3:07.88,3:21.18,3:34.67
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Azeddine HABZ,FRA,30.0,13.83,28.91,44.00,58.74,1:13.21,1:27.88,1:42.53,1:57.17,2:12.43,2:27.04,2:40.97,2:54.67,3:07.64,3:21.09,3:35.16
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Stewart MCSWEYN,AUS,28.0,14.28,29.09,43.81,58.39,1:12.93,1:27.86,1:42.36,1:57.08,2:12.03,2:27.03,2:42.25,2:54.48,3:08.13,3:22.21,3:36.01
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Kieran LUMB,CAN,25.0,14.07,29.17,44.88,58.96,1:13.63,1:28.60,1:42.74,1:57.34,2:12.22,2:26.90,2:41.00,2:54.74,3:08.43,3:22.40,3:36.66
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Abdellatif SADIKI,MAR,25.0,14.17,28.95,44.21,58.84,1:13.52,1:28.13,1:43.79,1:57.75,2:12.50,2:27.11,2:41.79,2:55.26,3:09.36,3:23.71,3:37.19
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Elzan BIBIĆ,SRB,25.0,13.87,29.10,44.48,59.37,1:13.42,1:27.93,1:43.31,1:57.60,2:12.49,2:27.24,2:41.25,2:55.31,3:09.11,3:23.20,3:37.45
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,István SZÖGI,HUN,28.0,14.04,28.98,44.95,59.24,1:13.91,1:28.72,1:44.62,1:57.81,2:12.76,2:27.76,2:41.72,2:55.94,3:09.52,3:23.38,3:37.57
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Abu MAYANJA,UGA,28.0,13.90,29.22,45.00,59.45,1:14.08,1:29.32,1:43.61,1:58.05,2:12.72,2:27.26,2:41.45,2:55.42,3:09.31,3:24.11,3:38.15
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Ajay Kumar SAROJ,IND,26.0,14.34,33.46,45.24,59.85,1:14.32,1:29.05,1:44.30,1:58.22,2:13.01,2:28.33,2:42.70,2:55.77,3:09.74,3:24.91,3:38.24
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Diego Javier LACAMOIRE,ARG,25.0,14.16,29.42,44.65,59.46,1:14.02,1:28.90,1:43.57,1:58.15,2:12.99,2:28.83,2:42.17,2:56.45,3:10.59,3:24.84,3:38.92
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,3.0,Ismael DEBJANI,BEL,33.0,13.81,28.86,44.89,59.01,1:13.73,1:28.30,1:43.12,1:57.95,2:12.58,2:27.96,2:43.42,2:56.51,3:11.19,3:25.94,3:39.73
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Abel KIPSANG,KEN,27.0,13.12,26.93,41.04,55.32,1:10.27,1:24.93,1:39.92,1:54.72,2:09.46,2:24.38,2:38.78,2:53.03,3:06.85,3:20.92,3:34.08
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Yared NUGUSE,USA,24.0,13.61,28.10,41.62,56.18,1:11.08,1:25.54,1:40.26,1:55.16,2:09.84,2:24.77,2:39.05,2:53.31,3:07.02,3:21.05,3:34.16
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Adam SPENCER,AUS,22.0,13.79,28.13,42.45,56.64,1:11.66,1:26.60,1:42.16,1:55.93,2:10.58,2:25.16,2:39.57,2:53.90,3:07.22,3:21.24,3:34.17
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Charles GRETHEN,LUX,31.0,13.21,26.84,42.63,55.51,1:10.40,1:25.13,1:40.37,1:54.76,2:09.60,2:24.26,2:39.02,2:53.20,3:06.98,3:20.91,3:34.32
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Elliot GILES,GBR,29.0,13.27,27.21,43.70,55.84,1:10.84,1:25.62,1:42.01,1:55.08,2:10.35,2:24.56,2:39.60,2:53.62,3:07.26,3:21.20,3:34.63
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Andrew COSCORAN,IRL,27.0,13.47,27.56,42.04,56.04,1:11.03,1:25.84,1:40.46,1:55.31,2:10.01,2:24.72,2:39.17,2:53.55,3:07.06,3:21.27,3:34.75
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Ossama MESLEK,ITA,27.0,13.45,27.66,41.95,56.52,1:11.52,1:26.26,1:42.04,1:55.83,2:10.46,2:25.12,2:39.37,2:53.73,3:07.40,3:21.31,3:35.12
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Salim KEDDAR,ALG,30.0,13.70,28.55,41.98,56.59,1:11.40,1:25.97,1:40.69,1:55.70,2:10.33,2:25.15,2:40.62,2:54.03,3:07.73,3:21.40,3:35.17
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Jochem VERMEULEN,BEL,25.0,13.47,29.53,41.36,55.95,1:11.08,1:26.06,1:40.55,1:55.53,2:10.08,2:24.72,2:39.41,2:53.79,3:07.56,3:21.18,3:35.45
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Michał ROZMYS,POL,28.0,13.24,26.96,41.17,55.73,1:10.62,1:25.20,1:40.33,1:55.04,2:09.76,2:25.06,2:39.12,2:53.42,3:07.18,3:21.79,3:36.26
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Raphael PALLITSCH,AUT,34.0,13.83,27.93,42.47,57.02,1:12.00,1:27.26,1:41.59,1:56.32,2:10.91,2:25.76,2:40.20,2:54.42,3:08.58,3:22.81,3:36.47
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Kristian Uldbjerg HANSEN,DEN,27.0,13.57,27.48,42.82,56.27,1:11.27,1:26.38,1:41.50,1:55.67,2:10.30,2:24.96,2:39.58,2:53.93,3:08.05,3:22.46,3:37.27
outdoor,Budapest (HUN),2023,19 August 2023,28,60,men,1500-metres,heats,4.0,Adisu GIRMA,ETH,24.0,13.49,27.77,41.84,56.47,1:11.53,1:27.51,1:41.38,1:56.43,2:11.58,2:26.69,2:41.58,2:57.12,3:12.68,3:29.48,3:45.86
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Nelly CHEPCHIRCHIR,KEN,20.0,15.07,32.03,49.30,1:06.43,1:24.21,1:42.03,1:58.63,2:15.18,2:30.90,2:46.88,3:02.47,3:17.83,3:32.47,3:47.30,4:02.14
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Birke HAYLOM,ETH,18.0,15.08,32.20,49.38,1:06.59,1:24.25,1:42.34,1:58.69,2:15.46,2:31.07,2:46.99,3:03.08,3:18.05,3:32.74,3:47.41,4:02.46
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Ciara MAGEEAN,IRL,31.0,15.12,32.23,49.56,1:06.91,1:24.53,1:42.24,1:58.98,2:15.64,2:31.15,2:47.12,3:02.79,3:18.34,3:33.09,3:47.79,4:02.70
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Cory Ann MCGEE,USA,31.0,15.09,32.02,49.21,1:06.54,1:24.23,1:41.99,1:58.68,2:15.41,2:31.03,2:46.89,3:02.66,3:18.28,3:32.90,3:47.62,4:02.71
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Melissa COURTNEY-BRYANT,GBR,30.0,15.29,32.41,49.73,1:07.05,1:24.62,1:42.37,2:00.67,2:15.84,2:31.44,2:47.23,3:02.84,3:18.49,3:33.48,3:48.10,4:02.79
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Ludovica CAVALLI,ITA,23.0,15.16,32.17,49.53,1:06.69,1:24.40,1:42.04,1:58.86,2:15.52,2:31.25,2:47.01,3:02.73,3:18.40,3:33.28,3:48.28,4:02.83
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Marta PÉREZ,ESP,30.0,15.59,32.72,49.66,1:06.78,1:24.53,1:42.20,1:59.44,2:15.72,2:31.52,2:47.47,3:03.00,3:18.69,3:33.53,3:48.26,4:02.96
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Linden HALL,AUS,32.0,15.48,32.67,49.63,1:07.00,1:24.56,1:42.31,1:58.98,2:15.31,2:30.89,2:46.85,3:02.36,3:17.94,3:33.12,3:48.43,4:03.96
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Edinah JEBITOK,KEN,22.0,15.56,32.57,49.86,1:07.12,1:24.83,1:42.27,1:58.71,2:15.24,2:31.10,2:47.26,3:03.04,3:18.82,3:34.14,3:49.89,4:05.41
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Sinclaire JOHNSON,USA,25.0,15.23,32.44,49.60,1:06.82,1:24.36,1:42.16,1:58.89,2:15.59,2:31.31,2:47.34,3:02.69,3:18.23,3:33.45,3:49.92,4:06.39
outdoor,Budapest (HUN),2023,20 August 2023,33,46,women,1500-metres,semi-final,1.0,Nozomi TANAKA,JPN,24.0,15.30,32.34,49.65,1:06.91,1:24.51,1:42.28,1:58.93,2:15.50,2:31.23,2:47.21,3:02.93,3:18.61,3:33.90,3:50.43,4:06.71
